datetime,heart_rate,stress_level,body_battery
2025-11-18T07:13:00.000Z,73,,
2025-11-18T07:13:00.000Z,,20,14
2025-11-18T07:14:00.000Z,74,,
2025-11-18T07:14:00.000Z,,17,14
2025-11-18T07:15:00.000Z,73,,
2025-11-18T07:15:00.000Z,,27,14
2025-11-18T07:16:00.000Z,,,
2025-11-18T07:16:00.000Z,,30,14
2025-11-18T07:17:00.000Z,71,,
2025-11-18T07:17:00.000Z,,,
2025-11-18T07:17:00.000Z,,24,14
2025-11-18T07:18:00.000Z,73,,
2025-11-18T07:18:00.000Z,,31,14
2025-11-18T07:19:00.000Z,77,,
2025-11-18T07:19:00.000Z,,24,14
2025-11-18T07:20:00.000Z,78,,
2025-11-18T07:20:00.000Z,,,
2025-11-18T07:20:00.000Z,,27,14
2025-11-18T07:21:00.000Z,93,,
2025-11-18T07:21:00.000Z,,,
2025-11-18T07:21:00.000Z,,65534,13
2025-11-18T07:22:00.000Z,96,,
2025-11-18T07:22:00.000Z,,65,13
2025-11-18T07:23:00.000Z,82,,
2025-11-18T07:23:00.000Z,,33,13
2025-11-18T07:24:00.000Z,77,,
2025-11-18T07:24:00.000Z,,23,13
2025-11-18T07:25:00.000Z,73,,
2025-11-18T07:25:00.000Z,,,
2025-11-18T07:25:00.000Z,,20,13
2025-11-18T07:26:00.000Z,72,,
2025-11-18T07:26:00.000Z,,20,13
2025-11-18T07:27:00.000Z,73,,
2025-11-18T07:27:00.000Z,,24,13
2025-11-18T07:28:00.000Z,72,,
2025-11-18T07:28:00.000Z,,26,13
2025-11-18T07:29:00.000Z,73,,
2025-11-18T07:29:00.000Z,,22,13
2025-11-18T07:30:00.000Z,,19,13
2025-11-18T07:31:00.000Z,72,,
2025-11-18T07:31:00.000Z,,22,13
2025-11-18T07:32:00.000Z,73,,
2025-11-18T07:32:00.000Z,,24,13
2025-11-18T07:33:00.000Z,,,
2025-11-18T07:33:00.000Z,,27,13
2025-11-18T07:34:00.000Z,72,,
2025-11-18T07:34:00.000Z,,21,13
2025-11-18T07:35:00.000Z,74,,
2025-11-18T07:35:00.000Z,,,
2025-11-18T07:35:00.000Z,,18,13
2025-11-18T07:36:00.000Z,76,,
2025-11-18T07:36:00.000Z,,21,13
2025-11-18T07:37:00.000Z,75,,
2025-11-18T07:37:00.000Z,,21,13
2025-11-18T07:38:00.000Z,74,,
2025-11-18T07:38:00.000Z,,,
2025-11-18T07:38:00.000Z,,21,13
2025-11-18T07:39:00.000Z,,21,13
2025-11-18T07:40:00.000Z,75,,
2025-11-18T07:40:00.000Z,,21,13
2025-11-18T07:41:00.000Z,79,,
2025-11-18T07:41:00.000Z,,,
2025-11-18T07:41:00.000Z,,23,13
2025-11-18T07:42:00.000Z,72,,
2025-11-18T07:42:00.000Z,,15,13
2025-11-18T07:43:00.000Z,70,,
2025-11-18T07:43:00.000Z,,13,13
2025-11-18T07:44:00.000Z,71,,
2025-11-18T07:44:00.000Z,,15,13
2025-11-18T07:45:00.000Z,72,,
2025-11-18T07:45:00.000Z,,14,13
2025-11-18T07:46:00.000Z,74,,
2025-11-18T07:46:00.000Z,,18,13
2025-11-18T07:47:00.000Z,73,,
2025-11-18T07:47:00.000Z,,14,13
2025-11-18T07:48:00.000Z,,15,13
2025-11-18T07:49:00.000Z,,15,13
2025-11-18T07:50:00.000Z,,15,13
2025-11-18T07:51:00.000Z,74,,
2025-11-18T07:51:00.000Z,,16,13
2025-11-18T07:52:00.000Z,72,,
2025-11-18T07:52:00.000Z,,14,13
2025-11-18T07:53:00.000Z,74,,
2025-11-18T07:53:00.000Z,,16,13
2025-11-18T07:54:00.000Z,72,,
2025-11-18T07:54:00.000Z,,,
2025-11-18T07:54:00.000Z,,16,13
2025-11-18T07:55:00.000Z,73,,
2025-11-18T07:55:00.000Z,,,
2025-11-18T07:55:00.000Z,,15,15
2025-11-18T07:56:00.000Z,,,
2025-11-18T07:56:00.000Z,,21,15
2025-11-18T07:57:00.000Z,76,,
2025-11-18T07:57:00.000Z,,21,15
2025-11-18T07:58:00.000Z,73,,
2025-11-18T07:58:00.000Z,,19,15
2025-11-18T07:59:00.000Z,,,
2025-11-18T07:59:00.000Z,,21,15
2025-11-18T08:00:00.000Z,72,,
2025-11-18T08:00:00.000Z,,,
2025-11-18T08:00:00.000Z,,19,15
2025-11-18T08:01:00.000Z,71,,
2025-11-18T08:01:00.000Z,,19,15
2025-11-18T08:02:00.000Z,70,,
2025-11-18T08:02:00.000Z,,,
2025-11-18T08:02:00.000Z,,17,15
2025-11-18T08:03:00.000Z,75,,
2025-11-18T08:03:00.000Z,,23,15
2025-11-18T08:04:00.000Z,72,,
2025-11-18T08:04:00.000Z,,22,15
2025-11-18T08:05:00.000Z,71,,
2025-11-18T08:05:00.000Z,,18,15
2025-11-18T08:06:00.000Z,69,,
2025-11-18T08:06:00.000Z,,21,15
2025-11-18T08:07:00.000Z,71,,
2025-11-18T08:07:00.000Z,,18,15
