active_calories,active_time,activity_type,current_activity_type_intensity,cycles,distance,duration_min,heart_rate,moderate_activity_minutes,timestamp,timestamp16,vigorous_activity_inutes
,,,,,,,91,,2025-11-24T01:29:00.000Z,26844,
,,,136,,,,,,2025-11-24T01:29:00.000Z,,
949,6.776558301287498e-38,,38,2.8289413397789407e-41,,,,,2025-11-24T01:30:00.000Z,26904,
,,,,,,,96,,2025-11-24T01:31:00.000Z,26964,
,,,,,,,99,,2025-11-24T01:33:00.000Z,27084,
957,6.91108295386268e-38,,70,2.8405721170328367e-41,,,,,2025-11-24T01:34:00.000Z,27144,
,,,,,,,107,,2025-11-24T01:35:00.000Z,27204,
192,8.323712878089413e-39,,192,0,,,,,2025-11-24T01:35:00.000Z,27204,
,,,,,,,109,,2025-11-24T01:36:00.000Z,27264,
,,,,,,,108,,2025-11-24T01:37:00.000Z,27324,
,,,,,,,102,,2025-11-24T01:38:00.000Z,27384,
962,7.011976443294067e-38,,102,2.862152113383439e-41,,,,,2025-11-24T01:38:00.000Z,27384,
,,,,,,,103,,2025-11-24T01:39:00.000Z,27444,
,,,,,,,104,,2025-11-24T01:40:00.000Z,27504,
,,,,,,,109,,2025-11-24T01:41:00.000Z,27564,
199,8.57594660166788e-39,,192,0,,,,,2025-11-24T01:41:00.000Z,27564,
,,,,,,,101,,2025-11-24T01:42:00.000Z,27624,
,,,,,,,94,,2025-11-24T01:43:00.000Z,27684,
,,,,,,,92,,2025-11-24T01:44:00.000Z,27744,
,,,168,,,,,,2025-11-24T01:44:00.000Z,,
,,,,,,,88,,2025-11-24T01:45:00.000Z,27804,
963,7.045607606437863e-38,,102,2.8666362684692783e-41,,,,,2025-11-24T01:45:00.000Z,27804,
,,,,,,,91,,2025-11-24T01:46:00.000Z,27864,
,,,,,,,98,,2025-11-24T01:47:00.000Z,27924,
966,7.112869932725454e-38,,70,2.8716809429408476e-41,,,,,2025-11-24T01:47:00.000Z,27924,
,,,,,,,97,,2025-11-24T01:48:00.000Z,27984,
,,,168,,,,,,2025-11-24T01:48:00.000Z,,
,,,,,,,90,,2025-11-24T01:49:00.000Z,28044,
,,,,,,,95,,2025-11-24T01:50:00.000Z,28104,
,,,,,,,104,,2025-11-24T01:51:00.000Z,28164,
,,,,,,,114,,2025-11-24T01:52:00.000Z,28224,
,,,,,,,116,,2025-11-24T01:53:00.000Z,28284,
,,,,,,,118,,2025-11-24T01:54:00.000Z,28344,
,,,,,,,116,,2025-11-24T01:56:00.000Z,28464,
990,7.381919237875819e-38,,102,2.961924564043366e-41,,,,,2025-11-24T01:56:00.000Z,28464,
,,,,,,,102,,2025-11-24T01:57:00.000Z,28524,
,,,168,,,,,,2025-11-24T01:57:00.000Z,,
,,,,,,,95,,2025-11-24T01:58:00.000Z,28584,
991,7.415550401019614e-38,,102,2.963465992354123e-41,,,,,2025-11-24T01:58:00.000Z,28584,
,,,,,,,98,,2025-11-24T01:59:00.000Z,28644,
,,,200,,,,,,2025-11-24T01:59:00.000Z,,
,,,,,,,106,,2025-11-24T02:00:00.000Z,28704,
200,8.66002450952737e-39,,128,0,,,,,2025-11-24T02:00:00.000Z,28704,
,,,,,,,96,,2025-11-24T02:01:00.000Z,28764,
,,,104,,,,,,2025-11-24T02:01:00.000Z,,
,,,,,,,87,,2025-11-24T02:02:00.000Z,28824,
,,,8,,,,,,2025-11-24T02:02:00.000Z,,
,,,,,,,84,,2025-11-24T02:03:00.000Z,28884,
,,,104,,,,,,2025-11-24T02:04:00.000Z,,
,,,,,,,86,,2025-11-24T02:05:00.000Z,29004,
,,,,,,,83,,2025-11-24T02:06:00.000Z,29064,
,,,8,,,,,,2025-11-24T02:06:00.000Z,,
,,,,,,,85,,2025-11-24T02:08:00.000Z,29184,
,,,,,,,97,,2025-11-24T02:09:00.000Z,29244,
,,,,,,,81,,2025-11-24T02:10:00.000Z,29304,
,,,,,,,80,,2025-11-24T02:11:00.000Z,29364,
,,,,,,,81,,2025-11-24T02:12:00.000Z,29424,
,,,,,,,80,,2025-11-24T02:13:00.000Z,29484,
,,,136,,,,,,2025-11-24T02:13:00.000Z,,
,,,,,,,79,,2025-11-24T02:14:00.000Z,29544,
,,,8,,,,,,2025-11-24T02:15:00.000Z,,
,,,,,,,77,,2025-11-24T02:16:00.000Z,29664,
,,,,,,,76,,2025-11-24T02:17:00.000Z,29724,
,,,,,,,78,,2025-11-24T02:18:00.000Z,29784,
,,,,,,,79,,2025-11-24T02:19:00.000Z,29844,
,,,,,,,84,,2025-11-24T02:20:00.000Z,29904,
,,,,,,,82,,2025-11-24T02:21:00.000Z,29964,
,,,,,,,85,,2025-11-24T02:22:00.000Z,30024,
,,,,,,,83,,2025-11-24T02:23:00.000Z,30084,
,,,,,,,85,,2025-11-24T02:24:00.000Z,30144,
,,,,,,,82,,2025-11-24T02:25:00.000Z,30204,
,,,,,,,84,,2025-11-24T02:26:00.000Z,30264,
,,,136,,,,,,2025-11-24T02:26:00.000Z,,
,,,8,,,,,,2025-11-24T02:27:00.000Z,,
,,,,,,,82,,2025-11-24T02:28:00.000Z,30384,
,,,104,,,,,,2025-11-24T02:28:00.000Z,,
,,,,,,,80,,2025-11-24T02:29:00.000Z,30444,
992,7.44918156416341e-38,,134,2.9673896280542326e-41,,,,,2025-11-24T02:29:00.000Z,30444,
,,,,,,,84,,2025-11-24T02:30:00.000Z,30504,
,,,168,,,,,,2025-11-24T02:30:00.000Z,,
,,,,,,,88,,2025-11-24T02:31:00.000Z,30564,
,,,,,,,91,,2025-11-24T02:32:00.000Z,30624,
,,,,,,,115,,2025-11-24T02:33:00.000Z,30684,
,,,,,,,131,,2025-11-24T02:34:00.000Z,30744,
,,,,,,,125,,2025-11-24T02:35:00.000Z,30804,
,,,,,,,128,,2025-11-24T02:36:00.000Z,30864,
,,,,,,,137,,2025-11-24T02:37:00.000Z,30924,
,,,,,,,139,,2025-11-24T02:38:00.000Z,30984,
,,,,,,,,4,2025-11-24T02:38:00.000Z,30984,
1023,7.718230869313775e-38,,70,3.080614543971678e-41,,,,,2025-11-24T02:38:00.000Z,30984,
,,,,,,,142,,2025-11-24T02:39:00.000Z,31044,
,,,,,,,,,2025-11-24T02:39:00.000Z,31044,1
,,,,,,,150,,2025-11-24T02:40:00.000Z,31104,
,,,,,,,158,,2025-11-24T02:41:00.000Z,31164,
,,,,,,,,1,2025-11-24T02:41:00.000Z,31164,1
,,,,,,,145,,2025-11-24T02:42:00.000Z,31224,
,,,,,,,132,,2025-11-24T02:43:00.000Z,31284,
,,,,,,,129,,2025-11-24T02:44:00.000Z,31344,
,,,,,,,127,,2025-11-24T02:45:00.000Z,31404,
1057,7.953649011320344e-38,,70,3.145214403177052e-41,,,,,2025-11-24T02:45:00.000Z,31404,
,,,,,,,119,,2025-11-24T02:46:00.000Z,31464,
200,8.744102417386859e-39,,96,0,,,,,2025-11-24T02:46:00.000Z,31464,
,,,,,,,104,,2025-11-24T02:47:00.000Z,31524,
,,,,,,,,4,2025-11-24T02:47:00.000Z,31524,
,,,,,,,91,,2025-11-24T02:48:00.000Z,31584,
,,,104,,,,,,2025-11-24T02:48:00.000Z,,
,,,8,,,,,,2025-11-24T02:50:00.000Z,,
,,,,,,,90,,2025-11-24T02:51:00.000Z,31764,
,,,72,,,,,,2025-11-24T02:51:00.000Z,,
,,,,,,,89,,2025-11-24T02:52:00.000Z,31824,
1059,8.020911337607935e-38,,134,3.1550234924273256e-41,,,,,2025-11-24T02:53:00.000Z,31884,
200,8.744102417386859e-39,"generic",,0,0,1313,,,2025-11-24T02:53:00.000Z,,
1059,8.020911337607935e-38,"walking",,3.1550234924273256e-41,2.5840069799011416e-42,1313,,,2025-11-24T02:53:00.000Z,,
26,7.567011707354012e-40,"running",,6.992479336980837e-43,8.590239846003994e-44,1313,,,2025-11-24T02:53:00.000Z,,
,,,,,,,,,2025-11-24T02:53:00.000Z,,
