active_calories,active_time,activity_type,current_activity_type_intensity,cycles,distance,duration_min,heart_rate,moderate_activity_minutes,timestamp,timestamp16
,,,,,,,102,,2025-11-23T11:55:00.000Z,43540
,,,,,,,104,,2025-11-23T11:56:00.000Z,43600
,,,,,,,103,,2025-11-23T11:57:00.000Z,43660
,,,,,,,102,,2025-11-23T11:59:00.000Z,43780
193,7.314777983775545e-39,,38,5.968130159559396e-42,,,,,2025-11-23T12:00:00.000Z,43840
,,,,,,,101,,2025-11-23T12:01:00.000Z,43900
,,,,,,,90,,2025-11-23T12:02:00.000Z,43960
195,7.482933799494523e-39,,70,6.153101556850272e-42,,,,,2025-11-23T12:02:00.000Z,43960
,,,,,,,93,,2025-11-23T12:03:00.000Z,44020
201,7.567011707354012e-39,,102,6.294632701747078e-42,,,,,2025-11-23T12:03:00.000Z,44020
,,,,,,,99,,2025-11-23T12:04:00.000Z,44080
9,2.5223372357846707e-40,,97,1.7656360650492695e-43,,,,,2025-11-23T12:04:00.000Z,44080
,,,,,,,104,,2025-11-23T12:05:00.000Z,44140
,,,,,,,108,,2025-11-23T12:06:00.000Z,44200
202,7.73516752307299e-39,,70,6.364697624963319e-42,,,,,2025-11-23T12:06:00.000Z,44200
,,,,,,,94,,2025-11-23T12:07:00.000Z,44260
,,,,,,,88,,2025-11-23T12:08:00.000Z,44320
,,,,,,,89,,2025-11-23T12:09:00.000Z,44380
,,,136,,,,,,2025-11-23T12:09:00.000Z,
,,,,,,,87,,2025-11-23T12:10:00.000Z,44440
,,,,,,,91,,2025-11-23T12:11:00.000Z,44500
,,,,,,,92,,2025-11-23T12:12:00.000Z,44560
,,,,,,,89,,2025-11-23T12:13:00.000Z,44620
,,,,,,,92,,2025-11-23T12:14:00.000Z,44680
,,,,,,,93,,2025-11-23T12:15:00.000Z,44740
206,8.239634970229924e-39,,70,6.698206659472626e-42,,,,,2025-11-23T12:15:00.000Z,44740
,,,,,,,94,,2025-11-23T12:16:00.000Z,44800
,,,,,,,92,,2025-11-23T12:17:00.000Z,44860
207,8.407790785948902e-39,,38,6.789291059653739e-42,,,,,2025-11-23T12:17:00.000Z,44860
,,,136,,,,,,2025-11-23T12:18:00.000Z,
,,,,,,,88,,2025-11-23T12:19:00.000Z,44980
,,,,,,,87,,2025-11-23T12:20:00.000Z,45040
,,,,,,,89,,2025-11-23T12:21:00.000Z,45100
208,8.66002450952737e-39,,70,6.946236487658118e-42,,,,,2025-11-23T12:21:00.000Z,45100
,,,,,,,90,,2025-11-23T12:22:00.000Z,45160
,,,136,,,,,,2025-11-23T12:22:00.000Z,
,,,,,,,91,,2025-11-23T12:23:00.000Z,45220
,,,,,,,93,,2025-11-23T12:24:00.000Z,45280
,,,,,,,89,,2025-11-23T12:25:00.000Z,45340
,,,,,,,93,,2025-11-23T12:26:00.000Z,45400
,,,,,,,94,,2025-11-23T12:27:00.000Z,45460
210,9.080414048824815e-39,,70,7.39184939931341e-42,,,,,2025-11-23T12:27:00.000Z,45460
,,,,,,,93,,2025-11-23T12:28:00.000Z,45520
,,,,,,,86,,2025-11-23T12:29:00.000Z,45580
,,,,,,,83,,2025-11-23T12:30:00.000Z,45640
,,,136,,,,,,2025-11-23T12:30:00.000Z,
,,,,,,,80,,2025-11-23T12:31:00.000Z,45700
,,,,,,,79,,2025-11-23T12:32:00.000Z,45760
210,9.416725680262771e-39,,70,7.509558470316695e-42,,,,,2025-11-23T12:34:00.000Z,45880
,,,,,,,80,,2025-11-23T12:35:00.000Z,45940
,,,104,,,,,,2025-11-23T12:35:00.000Z,
,,,,,,,78,,2025-11-23T12:36:00.000Z,46000
210,9.50080358812226e-39,,6,7.522170156495618e-42,,,,,2025-11-23T12:36:00.000Z,46000
,,,,,,,79,,2025-11-23T12:39:00.000Z,46180
,,,,,,,78,,2025-11-23T12:40:00.000Z,46240
,,,,,,,75,,2025-11-23T12:41:00.000Z,46300
,,,,,,,78,,2025-11-23T12:42:00.000Z,46360
,,,104,,,,,,2025-11-23T12:42:00.000Z,
,,,,,,,82,,2025-11-23T12:43:00.000Z,46420
,,,8,,,,,,2025-11-23T12:43:00.000Z,
,,,,,,,79,,2025-11-23T12:44:00.000Z,46480
,,,136,,,,,,2025-11-23T12:44:00.000Z,
210,9.584881495981749e-39,,102,7.644083122891877e-42,,,,,2025-11-23T12:45:00.000Z,46540
,,,,,,,83,,2025-11-23T12:46:00.000Z,46600
210,9.668959403841238e-39,,38,7.683319479892972e-42,,,,,2025-11-23T12:46:00.000Z,46600
,,,,,,,78,,2025-11-23T12:47:00.000Z,46660
,,,104,,,,,,2025-11-23T12:47:00.000Z,
