active_calories,active_time,activity_type,current_activity_type_intensity,cycles,distance,duration_min,heart_rate,timestamp,timestamp16,vigorous_activity_inutes
,,,,,,,91,2025-11-08T18:04:00.000Z,14864,
,,,8,,,,,2025-11-08T18:04:00.000Z,,
,,,,,,,90,2025-11-08T18:05:00.000Z,14924,
,,,8,,,,,2025-11-08T18:05:00.000Z,,
,,,72,,,,,2025-11-08T18:06:00.000Z,,
,,,,,,,87,2025-11-08T18:07:00.000Z,15044,
,,,8,,,,,2025-11-08T18:07:00.000Z,,
,,,,,,,86,2025-11-08T18:08:00.000Z,15104,
,,,,,,,85,2025-11-08T18:11:00.000Z,15284,
,,,,,,,84,2025-11-08T18:12:00.000Z,15344,
,,,104,,,,,2025-11-08T18:12:00.000Z,,
,,,,,,,85,2025-11-08T18:14:00.000Z,15464,
,,,8,,,,,2025-11-08T18:15:00.000Z,,
,,,,,,,83,2025-11-08T18:17:00.000Z,15644,
,,,,,,,84,2025-11-08T18:18:00.000Z,15704,
,,,,,,,83,2025-11-08T18:19:00.000Z,15764,
,,,,,,,84,2025-11-08T18:20:00.000Z,15824,
,,,,,,,85,2025-11-08T18:21:00.000Z,15884,
,,,,,,,84,2025-11-08T18:22:00.000Z,15944,
,,,104,,,,,2025-11-08T18:22:00.000Z,,
,,,,,,,85,2025-11-08T18:23:00.000Z,16004,
,,,8,,,,,2025-11-08T18:23:00.000Z,,
,,,,,,,84,2025-11-08T18:25:00.000Z,16124,
,,,,,,,86,2025-11-08T18:26:00.000Z,16184,
,,,,,,,95,2025-11-08T18:27:00.000Z,16244,
,,,,,,,90,2025-11-08T18:29:00.000Z,16364,
,,,136,,,,,2025-11-08T18:29:00.000Z,,
,,,,,,,92,2025-11-08T18:30:00.000Z,16424,
,,,,,,,94,2025-11-08T18:31:00.000Z,16484,
,,,8,,,,,2025-11-08T18:31:00.000Z,,
,,,,,,,90,2025-11-08T18:32:00.000Z,16544,
,,,,,,,91,2025-11-08T18:33:00.000Z,16604,
,,,,,,,89,2025-11-08T18:34:00.000Z,16664,
,,,,,,,91,2025-11-08T18:35:00.000Z,16724,
,,,,,,,93,2025-11-08T18:38:00.000Z,16904,
,,,,,,,97,2025-11-08T18:39:00.000Z,16964,
,,,,,,,90,2025-11-08T18:40:00.000Z,17024,
,,,,,,,91,2025-11-08T18:42:00.000Z,17144,
,,,,,,,88,2025-11-08T18:43:00.000Z,17204,
,,,,,,,87,2025-11-08T18:44:00.000Z,17264,
,,,,,,,88,2025-11-08T18:45:00.000Z,17324,
,,,,,,,86,2025-11-08T18:46:00.000Z,17384,
,,,,,,,87,2025-11-08T18:49:00.000Z,17564,
,,,,,,,90,2025-11-08T18:50:00.000Z,17624,
,,,,,,,87,2025-11-08T18:51:00.000Z,17684,
,,,104,,,,,2025-11-08T18:51:00.000Z,,
,,,,,,,94,2025-11-08T18:52:00.000Z,17744,
130,5.1287523794288305e-39,,6,3.0226007875486304e-42,,,,2025-11-08T18:52:00.000Z,17744,
,,,,,,,90,2025-11-08T18:53:00.000Z,17804,
,,,,,,,87,2025-11-08T18:54:00.000Z,17864,
,,,,,,,86,2025-11-08T18:55:00.000Z,17924,
,,,,,,,87,2025-11-08T18:57:00.000Z,18044,
,,,,,,,88,2025-11-08T18:58:00.000Z,18104,
,,,,,,,83,2025-11-08T18:59:00.000Z,18164,
,,,,,,,89,2025-11-08T19:00:00.000Z,18224,
,,,,,,,88,2025-11-08T19:01:00.000Z,18284,
,,,104,,,,,2025-11-08T19:04:00.000Z,,
,,,,,,,87,2025-11-08T19:05:00.000Z,18524,
,,,104,,,,,2025-11-08T19:05:00.000Z,,
,,,,,,,97,2025-11-08T19:06:00.000Z,18584,
,,,,,,,110,2025-11-08T19:07:00.000Z,18644,
134,5.254869241218064e-39,,38,3.0674423384070246e-42,,,,2025-11-08T19:07:00.000Z,18644,
,,,,,,,112,2025-11-08T19:08:00.000Z,18704,
,,,,,,,115,2025-11-08T19:09:00.000Z,18764,
,,,,,,,103,2025-11-08T19:10:00.000Z,18824,
62,1.9127724038033753e-39,,160,0,,,,2025-11-08T19:10:00.000Z,18824,
,,,,,,,96,2025-11-08T19:11:00.000Z,18884,
,,,,,,,93,2025-11-08T19:12:00.000Z,18944,
,,,72,,,,,2025-11-08T19:12:00.000Z,,
