body_battery,field_four,field_two,stress_level_time,stress_level_value
34,1,181,2025-11-13T03:05:00.000Z,81
34,1,196,2025-11-13T03:06:00.000Z,70
34,1,204,2025-11-13T03:07:00.000Z,64
34,1,212,2025-11-13T03:08:00.000Z,58
34,1,215,2025-11-13T03:09:00.000Z,56
34,1,212,2025-11-13T03:10:00.000Z,58
34,1,230,2025-11-13T03:11:00.000Z,45
34,1,201,2025-11-13T03:12:00.000Z,66
34,1,218,2025-11-13T03:13:00.000Z,54
34,1,228,2025-11-13T03:14:00.000Z,46
34,1,205,2025-11-13T03:15:00.000Z,63
33,1,216,2025-11-13T03:16:00.000Z,55
33,1,214,2025-11-13T03:17:00.000Z,57
33,1,219,2025-11-13T03:18:00.000Z,53
33,1,189,2025-11-13T03:19:00.000Z,75
33,1,235,2025-11-13T03:20:00.000Z,41
33,1,231,2025-11-13T03:21:00.000Z,44
33,1,223,2025-11-13T03:22:00.000Z,50
33,1,243,2025-11-13T03:23:00.000Z,35
33,1,230,2025-11-13T03:24:00.000Z,45
33,1,214,2025-11-13T03:25:00.000Z,57
33,1,212,2025-11-13T03:26:00.000Z,58
33,1,227,2025-11-13T03:27:00.000Z,47
33,1,227,2025-11-13T03:28:00.000Z,47
33,1,227,2025-11-13T03:29:00.000Z,47
33,1,197,2025-11-13T03:30:00.000Z,69
33,1,189,2025-11-13T03:31:00.000Z,75
33,1,188,2025-11-13T03:32:00.000Z,76
32,1,211,2025-11-13T03:33:00.000Z,59
32,1,202,2025-11-13T03:34:00.000Z,66
32,1,201,2025-11-13T03:35:00.000Z,66
32,1,187,2025-11-13T03:36:00.000Z,77
32,1,177,2025-11-13T03:37:00.000Z,84
32,1,190,2025-11-13T03:38:00.000Z,75
32,1,198,2025-11-13T03:39:00.000Z,69
32,1,201,2025-11-13T03:40:00.000Z,66
32,1,200,2025-11-13T03:41:00.000Z,67
32,1,220,2025-11-13T03:42:00.000Z,52
32,1,209,2025-11-13T03:43:00.000Z,60
32,1,227,2025-11-13T03:44:00.000Z,47
31,1,226,2025-11-13T03:45:00.000Z,48
31,1,203,2025-11-13T03:46:00.000Z,65
31,1,209,2025-11-13T03:47:00.000Z,60
31,1,216,2025-11-13T03:48:00.000Z,55
31,1,227,2025-11-13T03:49:00.000Z,47
31,1,225,2025-11-13T03:50:00.000Z,48
31,1,230,2025-11-13T03:51:00.000Z,45
31,1,209,2025-11-13T03:52:00.000Z,60
31,1,218,2025-11-13T03:53:00.000Z,54
31,1,205,2025-11-13T03:54:00.000Z,63
31,1,218,2025-11-13T03:55:00.000Z,54
31,1,228,2025-11-13T03:56:00.000Z,46
31,1,233,2025-11-13T03:57:00.000Z,42
31,1,235,2025-11-13T03:58:00.000Z,41
30,1,238,2025-11-13T03:59:00.000Z,39
30,1,231,2025-11-13T04:00:00.000Z,44
30,1,219,2025-11-13T04:01:00.000Z,53
30,1,248,2025-11-13T04:02:00.000Z,31
30,1,233,2025-11-13T04:03:00.000Z,42
30,1,225,2025-11-13T04:04:00.000Z,48
